2021-11-17T14:50:28.316Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"5dd464fb-1ebc-4edb-bc83-e8972af0e356","name":"ContractTerminatedEvent","startDate":"2021-11-17T14:50:28.310Z","premium":100,"endDate":"2021-11-17T14:50:28.311Z"},"eventDate":1637160628311}
2021-11-17T16:28:17.570Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166497565}
2021-11-17T16:28:30.719Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166510714}
2021-11-17T16:29:17.383Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166557377}
2021-11-17T16:29:41.670Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166581659}
2021-11-17T16:29:42.386Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166582375}
2021-11-17T16:29:43.085Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166583076}
2021-11-17T16:29:43.700Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166583690}
2021-11-17T16:29:44.288Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166584278}
2021-11-17T16:29:44.906Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166584900}
2021-11-17T16:29:45.512Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166585502}
2021-11-17T16:29:46.191Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166586186}
2021-11-17T16:29:46.803Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166586797}
2021-11-17T16:29:47.411Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166587402}
2021-11-17T16:29:47.987Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166587973}
2021-11-17T16:29:48.553Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166588548}
2021-11-17T16:29:49.154Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637166589148}
2021-11-17T16:53:08.196Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637167988184}
2021-11-17T16:53:29.746Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637168009739}
2021-11-17T16:53:31.274Z {"eventType":"ContractCreatedEvent","event":{"contractId":"8","name":"ContractCreatedEvent","startDate":"2020-01-01","premium":100,"endDate":null},"eventDate":1637168011268}
2021-11-17T16:54:36.702Z {"eventType":"ContractCreatedEvent","event":{"contractId":"88386dea-c4a0-417b-a37f-c740cdb6162d","name":"ContractCreatedEvent","startDate":"2021-11-17T16:54:36.699Z","premium":100,"endDate":null},"eventDate":1637168076699}
2021-11-17T16:55:01.319Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T16:55:01.314Z"},"eventDate":1637168101314}
2021-11-17T16:56:03.665Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T16:56:03.662Z"},"eventDate":1637168163662}
2021-11-17T16:59:19.333Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T16:59:19.329Z"},"eventDate":1637168359329}
2021-11-17T16:59:23.624Z {"eventType":"ContractCreatedEvent","event":{"contractId":"042188a8-daac-4cc1-839a-f3f7b292103a","name":"ContractCreatedEvent","startDate":"2021-11-17T16:59:23.619Z","premium":100,"endDate":null},"eventDate":1637168363619}
2021-11-17T16:59:36.283Z {"eventType":"ContractCreatedEvent","event":{"contractId":"ab6d2407-1ec7-486e-9fff-fc1e42703e69","name":"ContractCreatedEvent","startDate":"2021-11-17T16:59:36.282Z","premium":100,"endDate":null},"eventDate":1637168376282}
2021-11-17T16:59:38.093Z {"eventType":"ContractCreatedEvent","event":{"contractId":"0222001a-d9ef-4fde-a7f3-ec275d5b38df","name":"ContractCreatedEvent","startDate":"2021-11-17T16:59:38.089Z","premium":100,"endDate":null},"eventDate":1637168378089}
2021-11-17T17:00:15.106Z {"eventType":"ContractCreatedEvent","event":{"contractId":"a07bcdab-f341-48ee-a0aa-3c9cb8fed897","name":"ContractCreatedEvent","startDate":"2021-11-17T17:00:15.101Z","premium":100,"endDate":null},"eventDate":1637168415101}
2021-11-17T17:00:18.503Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T17:00:18.499Z"},"eventDate":1637168418499}
2021-11-17T17:00:19.931Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T17:00:19.927Z"},"eventDate":1637168419927}
2021-11-17T17:00:23.918Z {"eventType":"ContractCreatedEvent","event":{"contractId":"3ff73726-5d8b-4872-b46c-01df6e19fb6b","name":"ContractCreatedEvent","startDate":"2021-11-17T17:00:23.914Z","premium":100,"endDate":null},"eventDate":1637168423914}
2021-11-17T17:00:37.269Z {"eventType":"ContractCreatedEvent","event":{"contractId":"bb19ceec-af92-47e7-8b13-4d3ed6b7e71d","name":"ContractCreatedEvent","startDate":"2021-11-17T17:00:37.264Z","premium":100,"endDate":null},"eventDate":1637168437264}
2021-11-17T17:02:34.689Z {"eventType":"ContractCreatedEvent","event":{"contractId":"e22f09d4-a7f6-4abb-a270-ff440fd06524","name":"ContractCreatedEvent","startDate":"2021-11-17T17:02:34.684Z","premium":100,"endDate":null},"eventDate":1637168554685}
